Time,Value
2500,113.4
2505,113.4
2510,113.4
2515,139
2520,139
2525,139
2530,106.7
2535,111.7
2540,111.7
2545,111.7
2550,86.6
2555,118.2
2560,118.2
2565,118.2
2570,118.2
2575,118.2
2580,104.2
2585,104.2
2590,99
2595,100.9
2600,100.9
2605,86.6
2610,86.6
2615,110.6
2620,110.6
2625,118.8
2630,118.8
2635,106.1
2640,106.1
2645,106.1
2650,97.6
2655,106.8
2660,110.2
2665,110.2
2670,87.1
2675,97.3
2680,97.3
2685,97.3
2690,93.1
2695,93.1
2700,93.1
2705,88.3
2710,89.8
2715,93.3
2720,93.3
2725,93.3
2730,82.8
2735,82.8
2740,76.2
2745,115.4
2750,115.4
2755,69.2
2760,69.2
2765,71.6
2770,71.6
2775,75.5
2780,78.6
2785,78.6
2790,78.6
2795,75.6
2800,75.6
2805,92.3
2810,92.3
2815,92.3
2820,83.1
2825,83.1
2830,83.1
2835,78.2
2840,108.2
2845,108.2
2850,103.8
2855,103.8
2860,103.8
2865,89
2870,89
2875,84.4
2880,84.4
2885,84.4
2890,80.7
2895,80.7
2900,77.9
2905,77.9
2910,88.3
2915,88.3
2920,81.9
2925,82.5
2930,84.9
2935,108.2
2940,108.2
2945,98.5
2950,100.7
2955,100.7
2960,100.7
2965,97.6
2970,97.6
2975,81.2
2980,81.2
2985,83
2990,121
2995,121
3000,89.5
3005,89.5
3010,78.3
3015,78.3
3020,121.8
3025,121.8
3030,77.5
3035,94.5
3040,94.5
3045,88.1
3050,95.2
3055,95.2
3060,95.2
3065,109.6
3070,109.6
3075,80.9
3080,80.9
3085,80.9
3090,72
3095,82.9
3100,88.1
3105,88.1
3110,76.1
3115,77.8
3120,77.8
3125,77.8
3130,95.6
3135,95.6
3140,95.6
3145,81.1
3150,81.1
3155,83.5
3160,83.9
3165,96.9
3170,96.9
3175,83.2
3180,83.2
3185,108.3
3190,108.3
3195,85.3
3200,85.3
3205,85.3
3210,88.4
3215,88.4
3220,88.4
3225,91.8
3230,91.8
3235,91.8
3240,73.6
3245,97.8
3250,97.8
3255,76.2
3260,116.7
3265,116.7
3270,116.7
3275,86.9
3280,86.9
3285,67.6
3290,71.6
3295,79.6
3300,79.6
3305,83.1
3310,104.8
3315,104.8
3320,104.8
3325,102.9
3330,102.9
3335,72.5
3340,96.3
3345,96.3
3350,81.1
3355,81.1
3360,83.9
3365,83.9
3370,83.9
3375,79.6
3380,118.1
3385,118.1
3390,118.1
3395,105.7
3400,105.7
3405,89.7
3410,89.7
3415,75.8
3420,75.8
3425,85.5
3430,86.3
3435,89.8
3440,95.5
3445,96
3450,98.5
3455,98.5
3460,110.6
3465,110.6
3470,99.9
3475,99.9
3480,74
3485,85.9
3490,85.9
3495,100.9
3500,100.9
3505,100.9
3510,91
3515,91
3520,75.4
3525,86.6
3530,86.6
3535,86.6
3540,76.8
3545,87.9
3550,87.9
3555,87.9
3560,74.6
3565,74.6
3570,88.8
3575,88.8
3580,83.7
3585,85.2
3590,85.2
3595,91.7
3600,91.7
3605,91.7
3610,87
3615,98.9
3620,98.9
3625,91.9
3630,91.9
3635,101.5
3640,103.8
3645,103.8
3650,70.2
3655,70.2
3660,81.6
3665,84.1
3670,84.1
3675,84.1
3680,72.7
3685,72.7
3690,94.3
3695,94.3
3700,94.3
3705,75.7
3710,75.7
3715,81.2
3720,81.2
3725,81.2
3730,73.4
3735,73.4
3740,81.6
3745,81.6
3750,69.9
3755,91.3
3760,91.3
3765,86.9
3770,86.9
3775,73.4
3780,93.8
3785,93.8
3790,93.8
3795,78.6
3800,94.7
3805,94.7
3810,75.8
3815,75.8
3820,69.3
3825,95.3
3830,95.3
3835,78.5
3840,78.5
3845,78.5
3850,73.6
3855,73.6
3860,73.6
3865,78.7
3870,99.4
3875,99.4
3880,72
3885,72
3890,63.9
3895,63.9
3900,77.5
3905,80.9
3910,105
3915,105
3920,88.8
3925,114.8
3930,114.8
3935,114.8
3940,77.9
3945,90.6
3950,90.6
3955,90.6
3960,79.9
3965,80.4
3970,80.4
3975,80.4
3980,113.6
3985,113.6
3990,82.2
3995,82.2
4000,70.2
4005,85
4010,85
4015,84
4020,84
4025,84
4030,87.2
4035,110.7
4040,110.7
4045,110.7
4050,103.7
4055,103.7
4060,78.5
4065,78.5
